,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,released_date,rank_streams
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,125,B,Major,80,89,83,31,0,8,4,2023-07-14,0
1,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,92,C#,Major,71,61,74,7,0,10,4,2023-03-23,1
2,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,138,F,Major,51,32,53,17,0,31,6,2023-06-30,2
3,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,170,A,Major,55,58,72,11,0,11,15,2019-08-23,3
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,144,A,Minor,65,23,80,14,63,11,6,2023-05-18,4
5,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,141,C#,Major,92,66,58,19,0,8,24,2023-06-01,5
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,148,F,Minor,67,83,76,48,0,8,3,2023-03-16,6
7,Columbia,Quevedo,1,2023,7,7,714,43,58149378,100,F,Major,67,26,71,37,0,11,4,2023-07-07,7
8,fukumean,Gunna,1,2023,5,15,1096,83,95217315,130,C#,Minor,85,22,62,12,0,28,9,2023-05-15,8
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,170,D,Minor,81,56,48,21,0,8,33,2023-03-17,9
10,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,83,F#,Minor,57,56,72,23,0,27,5,2023-04-17,10
11,Super Shy,NewJeans,1,2023,7,7,422,55,58255150,150,F,Minor,78,52,82,18,0,15,7,2023-07-07,11
12,Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,118,Unknown,Major,71,65,68,6,0,3,7,2023-01-12,12
13,Daylight,David Kushner,1,2023,4,14,3528,98,387570742,130,D,Minor,51,32,43,83,0,9,3,2023-04-14,13
14,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,174,F#,Minor,52,66,73,34,0,31,6,2022-03-31,14
15,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,89,G#,Major,64,43,73,5,17,16,4,2022-12-08,15
16,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,120,B,Minor,78,76,59,43,0,34,3,2023-02-24,16
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,78,Unknown,Major,44,14,9,96,0,10,3,2023-07-13,17
18,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,100,B,Major,86,67,66,14,0,12,16,2023-03-31,18
19,Like Crazy,Jimin,1,2023,3,24,596,68,363369738,120,G,Major,63,36,73,0,0,36,4,2023-03-24,19
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,140,F,Minor,65,87,74,22,0,42,4,2023-06-22,20
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,123,F#,Major,69,82,76,6,0,6,3,2023-07-07,21
22,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,135,Unknown,Minor,48,44,42,12,2,11,3,2013-01-01,22
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,133,F,Minor,85,81,67,26,0,12,5,2023-05-31,23
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,99,C#,Major,85,83,68,7,0,36,20,2023-06-02,24
25,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,130,G,Minor,79,96,86,9,0,9,9,2023-06-22,25
26,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,107,B,Major,80,82,80,43,0,14,4,2022-03-25,26
27,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,122,F#,Minor,81,74,71,14,0,56,4,2023-06-29,27
28,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,204,F#,Major,52,52,68,46,0,15,4,2023-01-31,28
29,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,110,B,Minor,67,78,85,2,0,33,5,2023-05-25,29
30,Rush,Troye Sivan,1,2023,7,13,864,78,22581161,126,F,Minor,74,35,84,0,0,11,6,2023-07-13,30
31,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,168,F#,Major,56,63,87,39,0,11,5,2023-06-28,31
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,98,C#,Minor,71,17,61,36,0,8,5,2022-12-02,32
33,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,97,E,Major,64,51,63,12,0,19,5,2022-10-21,33
34,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,180,E,Minor,72,61,63,67,0,9,28,2023-02-23,34
