,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210.0,40975,684,62,0,114,18004655,0,4818457,2669262,0,18004655,,,,,,,,
1,Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3,67,0,111,7780028,0,6623075,1118279,1,7780028,65.0,UC3lBXcrKFnFAFkfVk5WuKcQ,kendricklamar,https://www.youtube.com/channel/UC3lBXcrKFnFAFkfVk5WuKcQ,18000000.0,8991700913.0,40.0,46423905.0
2,i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190.0,74333,536,136,0,172,5022621,0,7208651,5285340,0,5022621,,,,,,,,
3,Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394.0,1474799,0,264,0,210,190260277,0,0,11822942,0,190260277,9.0,UCn7dB9UMTBDjKtEKBy_XISw,MileyCyrus,https://www.youtube.com/channel/UCn7dB9UMTBDjKtEKBy_XISw,19500000.0,9581591742.0,173.0,613217.0
4,Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,0,0,112763851,182.0,12185,1,82,0,105,4493884,0,207179,457017,1,4493884,68.0,UCfM3zsQsOnfWNUppiycmBuw,eminem,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,64100000.0,32917231641.0,197.0,1879645.0
5,Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138.0,522042,0,86,0,152,138529362,0,9438601,4517131,1,138529362,273.0,UC6vZl7Qj7JglLDmN_7Or-ZQ,JackHarlow,https://www.youtube.com/channel/UC6vZl7Qj7JglLDmN_7Or-ZQ,3010000.0,1923331243.0,131.0,1693482.0
6,Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,0,29584940,534915313,4601579812,280.0,383478,429,168,0,154,65447476,0,0,9990302,0,65447476,231.0,UCvILah8hAWYhYOmAG3ZjvBA,BensonBoone,https://www.youtube.com/channel/UCvILah8hAWYhYOmAG3ZjvBA,4110000.0,1929579106.0,406.0,796742.0
7,Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160.0,17221,30,87,0,53,3372428,0,0,6063523,1,3372428,323.0,UCeLRb7mQ1IHhwHrXd4fD5Sw,FloyyMenor,https://www.youtube.com/channel/UCeLRb7mQ1IHhwHrXd4fD5Sw,1210000.0,1062163574.0,36.0,389610.0
8,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119,1,15,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117,78,0,92,1005626,842,3679709,666302,1,1005626,314.0,UCV_CsAy5CNBX_uwDQ7RMe1Q,CentralCee,https://www.youtube.com/channel/UCV_CsAy5CNBX_uwDQ7RMe1Q,5270000.0,1767927086.0,72.0,8891664.0
