,Track,Album_Name,Artist,Release_Date,ISRC,All_Time_Rank,Track_Score,Spotify_Streams,Spotify_Playlist_Count,Spotify_Playlist_Reach,Spotify_Popularity,YouTube_Views,YouTube_Likes,TikTok_Posts,TikTok_Likes,TikTok_Views,YouTube_Playlist_Reach,Apple_Music_Playlist_Count,AirPlay_Spins,SiriusXM_Spins,Deezer_Playlist_Count,Deezer_Playlist_Reach,Amazon_Playlist_Count,Pandora_Streams,Pandora_Track_Stations,Soundcloud_Streams,Shazam_Counts,TIDAL_Popularity,Explicit_Track,numero_ligne,Pandora_Track,spotify_artist_id,spotify_followers_feb25,artist_genres
54,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720,590392,165544011,83.0,0,10093211,2882064,337322563,3501177394,2258085924,859.0,1695240,0,564,0,184,489299762,"319,634",28659471,28994660,,0,56,489299762,1Xyo4u8uXC1ZmMpatF05PJ,100161429,Error: 429
4102,Blinding Lights,Blinding Lights,xSyborg,2021-03-13,QZLBC2302779,4229,20.5,4261328190,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,4250,0,1WAbp7edewKZGadOCmhlJg,1334,Error: 429
52,Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734,316378,148037882,80.0,0,45770887,2270315,194420058,2320856331,2294804623,465.0,402829,282,512,0,115,733565655,"651,557",78149375,1146246,,0,54,733565655,6eUKZXaKkcviH0Ku9w2n3V,119113661,Error: 429
1573,Shape of You,Shape of You,xSyborg,2021-02-20,QZLBC2302789,1807,36.3,3888356417,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,1634,0,1WAbp7edewKZGadOCmhlJg,1334,Error: 429
127,Someone You Loved,Breach,Lewis Capaldi,2018-11-08,DEUM71807062,133,129.7,3427498835,338763,160553919,82.0,0,20891433,1940473,212007614,2161032034,2333853734,408.0,600211,381,502,0,110,427212257,"357,540",0,29266297,,0,133,427212257,4GNC7GD6oZMSxPGyXy4MNB,13273454,Error: 429
110,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,USUM71814888,116,143.9,3358704125,392082,123917182,79.0,0,19410390,2714134,178829434,1597453878,484189798,351.0,273683,0,86,0,99,546367356,"906,813",0,1569935,,0,115,546367356,246dkjvS1zLTtiykXe5h60,46531018,Error: 429
19,As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535,407119,169783402,87.0,0,9101589,2755903,1633970617,15405881843,7289707052,455.0,1777811,0,330,0,189,132624772,"79,909",0,14967379,,0,20,132624772,6KImCVD70vtIoJWnq6nGn3,33464649,Error: 429
3281,As It Was,As It Was (Official Video),Harry Styles,2022-03-31,USSM22200594,3410,23.5,3299082422,1,1,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,3402,0,6KImCVD70vtIoJWnq6nGn3,33464649,Error: 429
251,Starboy,Starboy,The Weeknd,2016-09-22,USUG11600976,265,95.7,3291262413,366133,98022646,84.0,0,14968547,262780,52707882,375498232,218584786,341.0,68441,148,118,0,67,331295154,"418,888",23612071,15648166,,1,263,331295154,1Xyo4u8uXC1ZmMpatF05PJ,100161429,Error: 429
497,One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,2016-04-04,USCM51600028,518,67.9,3192204066,379853,131832723,82.0,0,5068762,2381341,51227212,388544079,6670180,550.0,184311,932,165,0,97,714508129,"601,041",0,21316589,,0,518,714508129,3TVXtAsR1Inumwj472S9r4,96238154,Error: 429
2311,STAY (with Justin Bieber),Stay,The Kid LAROI,2021-07-09,USSM12104470,2385,29.2,3107100349,11726,2225897,53.0,0,0,0,0,0,0,146.0,0,0,1,0,20,0,,0,15411173,,0,2394,0,2tIP7SsRs7vjIcLrU85W8J,6108722,Error: 429
25,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349,451732,134793519,78.0,0,14661425,7485966,2246991336,23712377029,4327058646,513.0,1510151,0,166,0,128,196783487,"124,922",36341585,0,,1,27,196783487,2tIP7SsRs7vjIcLrU85W8J,6108722,Error: 429
38,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106,375201,64901153,71.0,0,27240268,10342366,393814740,5861939942,2428166573,549.0,573733,169,584,0,121,373294159,"844,198",37430204,44842636,,0,40,373294159,2NjfBq1NflQcKSeiDooVjY,2964573,Error: 429
113,Believer,Believer,Imagine Dragons,2017-01-31,USUM71700626,119,142.2,3006226762,335880,89243475,81.0,0,42240881,5745117,453132709,5876458723,276194776,226.0,253782,388,118,0,71,614578695,"844,301",2943611,21306706,,0,119,614578695,53XhwfbYqKCa1cC15pYq2q,56449731,Error: 429
67,Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078,486278,112416489,82.0,0,14947520,1416295,513334446,5518429969,4899313022,459.0,1414326,0,170,0,95,122247640,"160,431",0,17848778,,0,71,122247640,4yvcSjfu4PC0CYQyLy4wSq,4408268,Error: 429
77,Perfect,ýý (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682,280165,116921604,81.0,0,39632673,6642975,601244764,7647479866,1708317539,208.0,263386,129,343,0,102,617483078,"595,052",0,0,,0,81,617483078,6eUKZXaKkcviH0Ku9w2n3V,119113661,Error: 429
221,rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,USUM71710087,231,101.8,2960046642,352745,82442565,77.0,0,23334015,196242,40652322,456931528,370252952,235.0,149051,393,122,0,47,608645169,"632,152",0,19166675,,1,231,608645169,246dkjvS1zLTtiykXe5h60,46531018,Error: 429
